title,album,artist,id,url
Losing Control (feat. Nathan Nicholson),Losing Control (feat. Nathan Nicholson),"Duke Dumont, Nathan Nicholson",6yW6KjdBVwpexa0xI26si0,https://open.spotify.com/track/6yW6KjdBVwpexa0xI26si0
Metro,Metro,"Kevin de Vries, Mau P",6kkf975GwERykpvOTu7IXZ,https://open.spotify.com/track/6kkf975GwERykpvOTu7IXZ
"Mind Awake, Body Asleep","Mind Awake, Body Asleep","Odd Mob, OMNOM, HYPERBEAM",6iGDeaY8vCTqxfGz6B8gTk,https://open.spotify.com/track/6iGDeaY8vCTqxfGz6B8gTk
Miracle - RÜFÜS DU SOL Remix,Miracle - RÜFÜS DU SOL Remix,"Adriatique, WhoMadeWho, RÜFÜS DU SOL",2yTjbIZDwHO41HIwDNPB8K,https://open.spotify.com/track/2yTjbIZDwHO41HIwDNPB8K
More Baby,More Baby,"Chris Lake, Aluna",02QE4LsAj7DBjMRxolGE8a,https://open.spotify.com/track/02QE4LsAj7DBjMRxolGE8a
My Dreams,My Dreams,"Aaron Shirk, Soar, Nicole Apollonio",44Jo4gk6U8dmsqDiYzOOEz,https://open.spotify.com/track/44Jo4gk6U8dmsqDiYzOOEz
My Mind,Jack The House 4,Matroda,4ZNuShYJjCqhDq83ZtYGgr,https://open.spotify.com/track/4ZNuShYJjCqhDq83ZtYGgr
On My Way,REDUX 006,Kaskade,4DHMD8JzIBOoAXAqHOl3qd,https://open.spotify.com/track/4DHMD8JzIBOoAXAqHOl3qd
On Purpose,On Purpose,"NURKO, Ryland James",0g01JYDahgFwR3CJuKxnfG,https://open.spotify.com/track/0g01JYDahgFwR3CJuKxnfG
One Chance (feat. Marlhy),One Chance (feat. Marlhy),"Knock2, NGHTMRE, Marlhy",2PqmZr6uk48GxTmvZRYjfd,https://open.spotify.com/track/2PqmZr6uk48GxTmvZRYjfd
One Last Call,One Last Call,"Ben Böhmer, Felix Raphael",30nygP64gBZqbLoWC72vNq,https://open.spotify.com/track/30nygP64gBZqbLoWC72vNq
Other Side (feat. Vera Blue) - Tep No Remix,Other Side (feat. Vera Blue) [Tep No Remix],"ILLENIUM, Said The Sky, Tep No, Vera Blue",6QBBFGzPJZ5C2pLtgpprDH,https://open.spotify.com/track/6QBBFGzPJZ5C2pLtgpprDH
Pliva,Pliva,"Jamie Jones, AMÉMÉ",5tfqO6elC42ZwXfIN1aSDk,https://open.spotify.com/track/5tfqO6elC42ZwXfIN1aSDk
Pulling Me Back Ft. Lovlee,Pulling Me Back,"Eli Brown, Siege, Lovlee",0megFGFoMy2ueMv48YHDGw,https://open.spotify.com/track/0megFGFoMy2ueMv48YHDGw
Push To Start (feat. No/Me),Push To Start (feat. No/Me),"Noizu, Westend, No/Me",6t4VHEcJ7Kek9pgGHlDp6R,https://open.spotify.com/track/6t4VHEcJ7Kek9pgGHlDp6R
RIP,RIP,"Apashe, Vladimir Cauchemar",17dPQMxsqyWBlNI9mSyAmu,https://open.spotify.com/track/17dPQMxsqyWBlNI9mSyAmu
Ray Of Solar,Ray Of Solar,Swedish House Mafia,5Y2n6pW4Vqr4Mzkd9V4Uk8,https://open.spotify.com/track/5Y2n6pW4Vqr4Mzkd9V4Uk8
Ray Of Solar - Tiësto Remix,Ray Of Solar (Tiësto Remix),"Swedish House Mafia, Tiësto",4HfQpalNYBccGOio2lqFbW,https://open.spotify.com/track/4HfQpalNYBccGOio2lqFbW
