# Artists
name,id,url
I am Sid,2ppBQNrWJWS2DsJzrF2Kst,https://open.spotify.com/artist/2ppBQNrWJWS2DsJzrF2Kst
ILLENIUM,45eNHdiiabvmbp4erw26rg,https://open.spotify.com/artist/45eNHdiiabvmbp4erw26rg
INTERCOM,6cHi0QWaBxWN71YpvTR4Jr,https://open.spotify.com/artist/6cHi0QWaBxWN71YpvTR4Jr
Ilan Bluestone,1yoZuH2j43vVSWsOwYuQyn,https://open.spotify.com/artist/1yoZuH2j43vVSWsOwYuQyn
In This Moment,6tbLPxj1uQ6vsRQZI2YFCT,https://open.spotify.com/artist/6tbLPxj1uQ6vsRQZI2YFCT
Infected Mushroom,6S2tas4z6DyIklBajDqJxI,https://open.spotify.com/artist/6S2tas4z6DyIklBajDqJxI
JOYRYDE,24neLwyYRyj4ItaGnFeIT0,https://open.spotify.com/artist/24neLwyYRyj4ItaGnFeIT0
JVNA,0BMfVLB7t0VCzNBZZKBy6A,https://open.spotify.com/artist/0BMfVLB7t0VCzNBZZKBy6A
James Egbert,0MHUXo8PYYFpnXY73siC8T,https://open.spotify.com/artist/0MHUXo8PYYFpnXY73siC8T
Jason Ross,6CCTvLyIHqUhY6VQizt150,https://open.spotify.com/artist/6CCTvLyIHqUhY6VQizt150
Juno Reactor,1Pe3z1UqRzKsQtHsl25dm6,https://open.spotify.com/artist/1Pe3z1UqRzKsQtHsl25dm6
Justin OH,5x2u5vpKBhviWQlni8VM8L,https://open.spotify.com/artist/5x2u5vpKBhviWQlni8VM8L
KLOUD,24Hb4GKFYquK73R8mTyInu,https://open.spotify.com/artist/24Hb4GKFYquK73R8mTyInu
KUURO,5mVWu2Ofpm2mlEpuMm3b4Q,https://open.spotify.com/artist/5mVWu2Ofpm2mlEpuMm3b4Q
Karma Fields,1tRsdSvjwp34PDvcmix6SJ,https://open.spotify.com/artist/1tRsdSvjwp34PDvcmix6SJ
Klaypex,4HBMToZ4yMR07eiK9IxtjK,https://open.spotify.com/artist/4HBMToZ4yMR07eiK9IxtjK
Knife Party,2DuJi13MWHjRHrqRUwk8vH,https://open.spotify.com/artist/2DuJi13MWHjRHrqRUwk8vH
Koven,3UCbp6D1lvILlxRJT9LnFa,https://open.spotify.com/artist/3UCbp6D1lvILlxRJT9LnFa
Krale,35dP7ddpwy7mkanF1WnM2g,https://open.spotify.com/artist/35dP7ddpwy7mkanF1WnM2g
LICK,62R6OE0R9RB43aSCyzVOxs,https://open.spotify.com/artist/62R6OE0R9RB43aSCyzVOxs
